id,submitdate,lastpage,startlanguage,seed,age,gender,gender[other],educationlevel,educationstatus,program,familiar,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,langcode,interviewtime,groupTime95800,ageTime,genderTime,educationlevelTime,educationstatusTime,programTime,familiarTime,groupTime95797,q1Time,q2Time,q3Time,q4Time,q5Time,q6Time,q7Time,q8Time,q9Time,q10Time,q11Time,q12Time,q13Time,q14Time,q15Time,langcodeTime,groupTime95801,emailTime
26,1980-01-01 00:00:00,3.0,de,1300993248,A2,A1,,A4,A4,"Bachelor of Science, Cognitive Science",A1,Ich studiere Cognitive Science. Auf welchen Seiten der Universität kann ich aktuelle und korrekte Informationen zum Thema Pflicht-Auslandssemester erhalten? ,"Ich möchte mein Pflicht-Auslandssemester in Form eines Auslandspraktikums durchführen. Darf ich dieses Praktikum theoretisch auch in den Sommerferien abschließen, falls es ein Projekt gibt wo dies zeitlich passen würde, oder darf ich es nur während dem Semester machen?",Darf ich während meines Auslandssemesters bzw. Auslandspraktikums weiterhin an Kursen der Universität Osnabrück teilnehmen? Oder ist meine Teilnahme an Kursen in dem Zeitraum des Auslandsaufenthalts blockiert? ,"Wenn mein Pflicht-Auslandsaufenthalt z.B. im Dezember aufhört (weil ich in einem Land mit anderen Semesterzeiten bin oder weil mein Praktikum nur bis Dezember geht), dürfte ich dann theoretisch noch im restlichen Wintersemester der Uni Osnabrück (welches bis März geht) an Kursen teilnehmen und sogar eine Klausur in diesen Kursen schreiben?",Welche Beruf-Optionen kann man mit einem abgeschlossenen Bachelor in Cognitive Science erwarten? ,"Kann man mit einem abgeschlossenen Bachelor in Cognitive Science bereits anfangen sinnvoll zu arbeiten (d.h. in einem Sektor bzw. Unternehmen welches sich solch einen Abschluss wünscht und wo man das Wissen aus diesem tatsächlich anwenden kann), oder muss man erst einen Master machen in dem man sich auf irgendeinen Bereich spezialisiert? ","Wie wertvoll ist der Bachelor in Cognitive Science für Unternehmen, vor allem im Vergleich zu jemandem der in einem ähnlichen, weiter verbreiteten Studiengang wie z.B. Informatik seinen Bachelor abgeschlossen hat? ","Wenn alles was Unternehmen über mich wissen ist, dass ich einen Bachelor in Cognitive Science habe, welche Unternehmen wären daran interessiert mich einzustellen?",Welches Wissen aus dem Bereich Cognitive Science ist für verschiedene Unternehmen am relevantesten? ,,,,,,,de,1198.34,78.39,,,,,,,1090.87,,,,,,,,,,,,,,,,,29.08,
27,1980-01-01 00:00:00,3.0,de,651940702,A2,A1,,A4,A4,Cognitive Science,A1,"Ich studiere Cognitive Science, wie kann ich von der alten zur neuen Pruefungsordnung wechselen?",Welche Kurse sind fuer Cognitive Science studenten im naechstne semester verfuegbar?,"Ich arbeite als Werkstudent, kann ich als Tutor auf minijob basis arbeiten?",Wann bekomme ich eine Antwort ob ich das Niedersachenstipendium bekomme?,"Gibt es gerade offene Arbeitsplaetze an der Uni die mit programmieren und oder AI zu tun haben, fuer die ich mich bewerben koennte?",Woher bekomme ich ein Englisch Sprachzertifikat fuer mein Auslandssemster?,Was sind die durschnitts Abschluss noten fuer verschiedene Studienganege und im allgmeinen?,,,,,,,,,de,438.64,64.2,,,,,,,357.17,,,,,,,,,,,,,,,,,17.27,
28,1980-01-01 00:00:00,3.0,de,736153931,A3,A1,,A2,A4,Cognitive Science,A2,Kann ich mich für Master Cognitive science bewerben bevor ich mein Bachelor Abschluss Habe? ,Was ist die Bewerbungsfrist für den Masterstudiengang Cognitive science für das Kommende Sommer Semester? ,Wie viele Leistunspunke ist das Master Projekt in Cognitive science? ,Was ist der Hauptunterschied zwischen PO 2019 und 2024 für den Cognitive Science Bachelor Studiengang? ,Wie kann ich mich für eine Hilfskraftstelle an der Uni Bewerben? ,Ist ein Auslandssemester erforderlich für internationale Studenten im Bachelor Studiengang Cognitive science? ,Was sind die Voraussetzungen um eine Bachelor-Arbeit beim Prüfungsamt anzumelden? ,,,,,,,,,de,770.65,396.13,,,,,,,364.82,,,,,,,,,,,,,,,,,9.7,
29,1980-01-01 00:00:00,3.0,en,1708915296,A2,A2,,A4,A4,Cognitive Science,A1,"
Hi, I want study cognitive Science in the University of Osnabrück. Where can I find the regulations on what I need to finish the bachelor. As in what classes I need to take and what options I have.",Where can I find information on my semester abroad? What do I need to hand in and where do I apply? ,I want to have student financial support. Are there any options provided by the university itself? ,"If I want to start a project with a professor, what do I do? Do I adress the professor directly or is there anyone else better to contact? ","I faced an issue that I cannot attend a midterm exam as I am not in Osnabrück. Who can I contact for that matter? I am hoping there will be a retake, but I’m not sure where to check.",How do I best ask for a letter of recommendation? Is there a template from the university as to what is expected to be written in it? ,Where can I find student jobs on the website? Is there a chance to work in the IT field to gain some insightful experience? Is it smart to address lecturers directly for opportunities? ,I have an idea how to improve the lecture recordings. Who can I talk to to discuss my ideas? ,,,,,,,,en,886.18,99.94,,,,,,,636.79,,,,,,,,,,,,,,,,,149.45,
30,,1.0,en,1614286940,A3,A1,,A2,A4,Cognitive science,A2,,,,,,,,,,,,,,,,en,45.01,21.01,,,,,,,24.0,,,,,,,,,,,,,,,,,,
31,1980-01-01 00:00:00,3.0,de,308770177,A2,A2,,A4,A4,Cognitive Science B.Sc.,A3,Wie kann ich mich auf dem Campus zurechtfinden bzw. orientieren?,"Gibt es eine zentrale Anlaufstelle, bei der ich jede beliebige Frage stellen kann?",Passt dieser Studiengang wirklich zu mir?,"Sollte ich mich um Bafög oder ein Stipendium kümmern und wenn ja, wie genau gehe ich vor?
",Wie komme ich am besten mit dem ÖPNV zur Uni hin?,Wie viele Stunden in der Woche werde ich ungefähr mit diesem Studiengang beschäftigt sein?,"Was brauche ich alles, um mich für diesen Studiengang zu bewerben, bzw. wie läuft der gesamte Prozess genau ab?",,,,,,,,,de,485.73,47.36,,,,,,,423.78,,,,,,,,,,,,,,,,,14.59,
33,,,de,1691160401,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1980-01-01 00:00:00,3.0,de,1800069096,A2,A1,,A4,A4,Cognitive Science,A2,Wo finde ich die Prüfungsordnung vom Bachelor in Cognitive Science?,Wer ist der/die Modulzuständige für Modul-XY?,Auf welche Master Studiengänge (der UOS) kann ich mich mit meinem Bachelor in Cognitive Science bewerben?,Welche Studiengänge sind am meisten vertreten?,Wann sind die Vorlesungszeiten bzw. wann sind Semesterferien?,Was gibt es für Initiativen/Aktivitäten für Studierende?,Ist der Frosch heute geöffnet?,,,,,,,,,de,972.32,141.77,,,,,,,803.98,,,,,,,,,,,,,,,,,26.57,
36,1980-01-01 00:00:00,3.0,de,1321630408,A2,A2,,A5,A4,Psychologie,A2,Wo finde ich das Modulhandbuch zum BA Psychologie? ,Wie lange dauert es in Regelstudienzeit Psychologie zu studieren?,Wo finde ich Praktikumsstellen?,Wo finde ich die Mensa am Westerberg?,Was brauche ich für einen NC um Psychologie studieren zu können?,Wie viele Studierende gibt es in OS?,Was sind die Anforderungen für einen Klinischen Master in OS?,,,,,,,,,de,1634.31,27.81,,,,,,,1526.32,,,,,,,,,,,,,,,,,80.18,
37,1980-01-01 00:00:00,3.0,en,1893291528,A8,A3,,A10,A8,.,A6,"Welche Studiengänge bietet die Universität Osnabrück an, und gibt es eine Übersicht der Bachelor- und Masterprogramme?","Wie läuft der Bewerbungsprozess für internationale Studierende ab, und welche Dokumente werden benötigt?",Wo finde ich Informationen zu den Wohnheimen oder anderen Unterkunftsmöglichkeiten für Studierende in Osnabrück?,"Gibt es finanzielle Unterstützung oder Stipendienprogramme für Studierende, und wie kann ich mich dafür bewerben?","Welche Bibliotheksdienste stehen Studierenden zur Verfügung, und wie kann ich ein Buch ausleihen oder einen Arbeitsplatz reservieren?","Wann finden die Orientierungswochen für Erstsemester statt, und wie melde ich mich dafür an?","Wie kann ich mich für Sprachkurse am Sprachenzentrum anmelden, und welche Sprachen werden angeboten?",,,,,,,,,en,651.14,419.28,,,,,,,194.43,,,,,,,,,,,,,,,,,37.43,
38,,1.0,de,305522388,A2,A1,,A4,A4,Cognitive Science,A3,,,,,,,,,,,,,,,,de,38.52,38.52,,,,,,,,,,,,,,,,,,,,,,,,,
39,1980-01-01 00:00:00,3.0,de,2062909548,A3,A1,,A5,A4,Lehramt für berufsbildende Schulen,A2,"Gibt es einen NC für mein Studienfach?
Wenn JA, wo kann ich diesen finden?",Wer ist der/ die Ansprechpartner*in für mein Studienfach? bzw. für mein spezifische Anliegen?,"An wen kann ich mich wenden, um berufspraktische Tätigkeiten nachzuweisen?",Wo finde ich die Prüfungsordnungen und Modulbeschreibungen für mein Studienfach?,Wo kann ich die Semesterzeitpläne einsehen? Vorlesungsbeginn etc.,Wie lauten die Bewerbungsfristen für meine Studienfach?,Wie laufen die Bewerbungen ab? Wo finde ich diese Informationen?,,,,,,,,,de,310.06,54.0,,,,,,,244.02,,,,,,,,,,,,,,,,,12.04,
40,,1.0,de,1811807575,A2,A2,,A4,A4,Master klinische Psychologie,A1,,,,,,,,,,,,,,,,de,79.29,44.58,,,,,,,34.71,,,,,,,,,,,,,,,,,,
42,1980-01-01 00:00:00,3.0,de,691807923,A2,A2,,A4,A4,,A5,Wo finde ich die Zugangsvoraussetzungen für den Studiengang XY?,Wo finde ich Informationen zu einem möglichen Auslandsaufenthalt?,Wo finde ich allgemeine Informationen zu den verschiedenen Fachbereichen?,Wie hoch ist der Semesterbeitrag und wann ist dieser fällig?,Gibt es demnächst Veranstaltungen von der Uni?,Wo finde ich Informationen zur Einführungswoche?,Wann sind Semesterferien?,,,,,,,,,de,392.59,42.69,,,,,,,339.2,,,,,,,,,,,,,,,,,10.7,
43,1980-01-01 00:00:00,3.0,de,1644597362,A2,A2,,A4,A4,Wirtschaftsrecht,A3,Wie sind die Öffnungszeiten der Bibliothek Heger-Tor-Wall?,Wann hat die Mensa Schlossgarten heute geöffnet?,Wo finde ich das Klausurdeckblatt zum downloaden?,Wo finde ich die Klausur- und Prüfungstermine für FB 10? ,Welche Bachelor-Studiengänge bietet die Uni Osnabrück an?,Welche Master-Studiengänge bietet die Uni Osnabrück an?,Wo kann ich mich für die Sprachkurse anmelden?,,,,,,,,,de,343.07,45.47,,,,,,,292.08,,,,,,,,,,,,,,,,,5.52,
44,,1.0,de,1812369534,A2,A2,,A4,A4,"Bachelor Bildung, Erziehung, Unterrichtet mit den Fächern Mathematik und Musik",A2,,,,,,,,,,,,,,,,de,855.68,855.68,,,,,,,,,,,,,,,,,,,,,,,,,
45,,1.0,de,1032780121,A2,A1,,A5,A4,Master Lehramt an Gymnasium Anglistik/Englisch und Französisch,A3,,,,,,,,,,,,,,,,de,45.85,45.85,,,,,,,,,,,,,,,,,,,,,,,,,
46,1980-01-01 00:00:00,3.0,de,229675639,A3,A2,,A6,A4,Wirtschaftsrecht,A4,Wo finde ich einen Gebäudeplan der Universität Osnabrück?,Wie funktioniert das Raumnummerierungssystem?,Wo kann ich meine bisher erbrachten Leistungen und Noten einsehen?,"Wie lasse ich mir die Teilnahme an Veranstaltungen anrechnen, die nicht Teil meines Studiengangs sind?",Wer kann mir bei Problemen außerhalb der Hochschule helfen (Rechtshilfe/Psychologischer Dienst)?,Wie kann ich mich engagieren und tatsächlich etwas bewirken?,Wie finde ich den passenden Studiengang für mich?,Wie genau funktioniert das mit den Langzeitstudiengebühren?,"Wen kann ich bei konkreten Fragen zum Studienalltag kontaktieren, wenn ich gern mit einem Menschen sprechen möchte?",,,,,,,de,471.32,61.98,,,,,,,394.89,,,,,,,,,,,,,,,,,14.45,
47,1980-01-01 00:00:00,3.0,de,329596135,A3,-oth-,Nichtbinär,A5,A4,,A3,"Was tut die Universität Osnabrück konkret, um marginalisierte Gruppen im Studienleben zu fördern?",Sind die oberen Führungsebenen der Universität Osnabrück durchschnittlich Weiß und männlich?,Welche Angebote vom Sportzentrum gibt es?,Welche Angebote vom Sprachenzentrum gibt es?,"Wie unterstützt die Universität Studierende, die von außerhalb Osnabrücks reinpendeln müssen?",Warum sind die Anbindungen an den Campus Westerberg so schlecht?,"Wie wurden die Antwortdaten für diesen Chatbot generiert? (Kontext: Andere ""KI-Bots"" holen ihre Datensätze auf Basis von Ausbeutung anderer Menschen)",,,,,,,,,de,392.53,39.66,,,,,,,344.84,,,,,,,,,,,,,,,,,8.03,
48,,1.0,de,1735298503,A2,A2,,A4,A4,2-Fächer-Bachelor Anglistik und Germanistik,A2,,,,,,,,,,,,,,,,de,52.31,52.31,,,,,,,,,,,,,,,,,,,,,,,,,
49,1980-01-01 00:00:00,3.0,de,1932209176,A3,A2,,A6,A7,,A2,Was sind die Öffnungszeiten des Prüfungsamt Cognitive Science? ,Wann beginnt das neue Semester?,Welcher Hausmeister ist für Gebäude 94 zuständig?,"Gibt es an der Universität eine Professor:in, die zu 'predictive policing' forscht?",Wann kann ich mich für das Frühstarter-Sportprogramm anmelden? ,Welche Veranstaltungen für Promovierende gibt es?,"Wen kann ich kontaktieren, um einen tropfenden Wasserhahn zu melden? ",,,,,,,,,de,531.24,61.25,,,,,,,464.91,,,,,,,,,,,,,,,,,5.08,
50,1980-01-01 00:00:00,3.0,en,86947017,A3,A2,,A4,A4,Cognitive Science,A2,How do I get a new Campus card?,Where do I find the map of the campus,When is the holiday for this semester?,How do I put money in my campus card,Is there any event happening this week?,Who is the president of the uni?,When is building 50 closed?,,,,,,,,,en,236.81,29.64,,,,,,,192.72,,,,,,,,,,,,,,,,,14.45,
51,1980-01-01 00:00:00,3.0,de,67330476,A3,A2,,A5,A4,Master Lehramt an Gymnasien,A3,Welche Kurse muss ich belegen?,"Was gibt es für Veranstaltungen an der Uni, an denen ich neues kennenlernen kann?",Was mache ich bei Studienzweifeln?,Warum gibt es das Niedersachsenmenü nicht mehr?,Warum sollte ich an der Universität Osnabrück studieren?,"An wen wende ich mich mit einer coolen Idee aus meinem Kunststudium, das für alle Erstsemester interessant sein könnte?","Was mache ich, wenn zum Ende meines Studiums Exkursionen fehlen, weil es keine freien Plätze gab?",,,,,,,,,de,440.72,70.19,,,,,,,358.17,,,,,,,,,,,,,,,,,12.36,
52,1980-01-01 00:00:00,3.0,en,1102930311,A3,A2,,A5,A4,Cognitive Science,A1,How much does it cost to live in Osnabrück as an international student?,What are the part-time job opportunities for students in Osnabrück?,What is the credit system to finish my masters?,Are there internship opportunities supported by the University?,What are the job opportunities after finishing my program?,How can I renew my VISA?,How can I apply for a Phd?,,,,,,,,,en,411.74,52.45,,,,,,,296.34,,,,,,,,,,,,,,,,,62.95,
53,1980-01-01 00:00:00,3.0,en,1667903576,A3,A2,,A6,A5,Cognitive Science,A1,What scholarships are available for international Master’s students at Osnabrück University?,What health and counseling services are available for international students?,Are there any special workshops or networking events for Master’s students in Cognitive Science?,What student organizations or clubs are open to international students?,Are there part-time job opportunities on campus for international students?,How can I connect with alumni from my program or other international students at the university?,What resources are available to help students with disabilities at Osnabrück University?,,,,,,,,,en,534.43,81.53,,,,,,,387.84,,,,,,,,,,,,,,,,,65.06,
54,1980-01-01 00:00:00,3.0,de,1082167074,A2,A2,,A4,A4,Cognitive Science,A2,Wo kann ich die neuen study regulations für Cognitive Science ab dem Wintersemester 24/25 finden?,Gibt es eine App in der ich das Angebot der Mensa einsehen kann?,Bis wann kann ich mich für einen NC-freien Studiengang an der Uni einschreiben?,Wie teurer ist es in einem Studentenwohnheim zu wohnen?,Welche Bachelor Abschlüsse qualifizieren mich für einen Master in Cognitive Science?,Wann sind die Semester Ferien?,Wo kann ich mich für Klausuren anmelden?,,,,,,,,,de,420.47,58.39,,,,,,,343.54,,,,,,,,,,,,,,,,,18.54,
55,,1.0,en,1733447512,A3,A1,,A5,A4,Cognitive science Msc,A3,,,,,,,,,,,,,,,,en,94.34,94.34,,,,,,,,,,,,,,,,,,,,,,,,,
56,1980-01-01 00:00:00,3.0,de,508691996,A3,A1,,A4,A4,Cognitive Science,A2,"Mit welchen Seminaren/Vorlesungen kann ich Modul ""XY"" füllen ?",Wann endet der Rückmeldungszeitraum dieses Senester?,Was gibt es heute in der Mensa?,Wie lautet die E-mail/ Telefonummer von Dozent*in XY?,"Wo finden meine Vorlesung XY statt, wie komme ich da hin ?",Wann ist das Examination Office geöffnet?,Wurde bereits ein Prüfungstermin für Vorlesung XY festgelegt?,,,,,,,,,de,1054.06,45.21,,,,,,,962.92,,,,,,,,,,,,,,,,,45.93,
57,1980-01-01 00:00:00,3.0,de,136586008,A2,A2,,A4,A4,"Cognitive Science, B.Sc.",A1,Wo finde ich das Formular zur Anmeldung meiner Bachelorarbeit?,Ist ein Auslandssemester für den Bachelor Abschluss in Cognitive Science notwendig?,Wo finde ich das Formular für Versuchspersonenstunden?,Wo kann ich die Prüfungsordnung für Cognitive Science finden?,Wo kann ich die Modulordnung für den Cognitive Science Bachelor finden?,Wo finde ich Informationen zur mündlichen Prüfung im Bachelor Cognitive Science?,Wo erfahre ich etwas über Nachteilsausgleiche?,,,,,,,,,de,354.19,40.38,,,,,,,241.74,,,,,,,,,,,,,,,,,72.07,
58,,1.0,en,1415430859,A2,A1,,A6,A5,Cognitive Computing,A3,,,,,,,,,,,,,,,,en,51.78,51.78,,,,,,,,,,,,,,,,,,,,,,,,,
59,,1.0,en,1885706704,A3,A2,,A6,A5,Cognitive Science,A1,,,,,,,,,,,,,,,,en,96.86,96.86,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,en,307121859,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,1.0,de,1934319445,A1,A2,,A4,A2,,A2,,,,,,,,,,,,,,,,de,71.68,71.68,,,,,,,,,,,,,,,,,,,,,,,,,
62,,1.0,de,611727209,A2,A1,,A10,A1,,A2,,,,,,,,,,,,,,,,de,79.98,79.98,,,,,,,,,,,,,,,,,,,,,,,,,
63,,1.0,de,1631483236,A1,A1,,A2,A2,,A1,,,,,,,,,,,,,,,,de,132.07,117.97,,,,,,,14.1,,,,,,,,,,,,,,,,,,
64,,1.0,de,2095790,A2,A1,,A2,A1,,A1,,,,,,,,,,,,,,,,de,57.73,57.73,,,,,,,,,,,,,,,,,,,,,,,,,
65,,1.0,de,494360994,A1,A1,,A4,A2,,A3,,,,,,,,,,,,,,,,de,75.24,75.24,,,,,,,,,,,,,,,,,,,,,,,,,
66,,1.0,de,1443177417,A2,A2,,A2,A2,,A4,,,,,,,,,,,,,,,,de,56.65,56.65,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,de,1960768314,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,1.0,de,745062881,A1,A1,,A4,A1,,A5,,,,,,,,,,,,,,,,de,53.25,53.25,,,,,,,,,,,,,,,,,,,,,,,,,
69,,1.0,de,837046382,A2,A1,,A2,A2,,A3,,,,,,,,,,,,,,,,de,67.03,67.03,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,de,1140685760,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1980-01-01 00:00:00,3.0,de,599431838,A2,A2,,A4,A1,,A2,Welche Studiengänge gilt es auf der Universität ,Welchen Abschluss brauche ich ,Welche angebote bietet der Universität ,Unterstützt sie finanziell ,Keine weitere Frage ,Keine weitere Frage ,Keine weitere Frage ,,,,,,,,,de,250.56,64.16,,,,,,,177.46,,,,,,,,,,,,,,,,,8.94,
72,1980-01-01 00:00:00,3.0,de,629680914,A1,A2,,A4,A2,,A4,Wie viel kostet mich ein Semester an der Uni?,Wo finde ich Wohnungsmöglichkeiten in der Nähe der Uni? ,Wie viele Student studieren momentan an der Uni? ,Wie ist die Anbindung zu den Öffentlichenverkehrsmitteln? ,Wie viele unterschiedliche Studiengänge werden hier unterrichtet? ,Wie wurde die Uni von ehemaligen Studenten bewertet? ,Gibt es eine Bibliothek?,,,,,,,,,de,743.18,413.85,,,,,,,310.76,,,,,,,,,,,,,,,,,18.57,
73,,1.0,de,240014791,A2,A1,,A4,A1,,A3,,,,,,,,,,,,,,,,de,79.29,79.29,,,,,,,,,,,,,,,,,,,,,,,,,
74,,1.0,de,1403132213,A1,A2,,A2,A2,,A4,,,,,,,,,,,,,,,,de,46.02,46.02,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,en,1180636688,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,de,1981835516,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1980-01-01 00:00:00,3.0,de,1647133899,A2,A2,,A4,A4,Rechtswissenschaften,A2,Welche Studiengänge sind an der Uni vertreten?,Wo ist (Bsp: Raum. 01/E01)?,Wie lauten die Kontaktdaten der Uni?,Welche Events gibt es in der nächsten Zeit?,Wann sind Semesterferien?,Was kannst du mir zu dem Studiengang (bsp: Jura) erzählen?,Wie sind die Öffnungszeiten der Bibliotheken?,,,,,,,,,de,565.25,84.76,,,,,,,461.16,,,,,,,,,,,,,,,,,19.33,
78,,1.0,de,1433202538,A1,A1,,A4,A2,,A1,,,,,,,,,,,,,,,,de,60.96,60.96,,,,,,,,,,,,,,,,,,,,,,,,,
79,,1.0,de,52786700,A1,A2,,A8,A2,,A4,,,,,,,,,,,,,,,,de,71.15,71.15,,,,,,,,,,,,,,,,,,,,,,,,,
80,,1.0,en,527735354,A2,A2,,A4,A5,cognitive science,A1,,,,,,,,,,,,,,,,en,78.45,78.45,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,de,1134707155,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
